season,RedCards,YellowCards
season-0910,9,82
season-1011,7,75
season-1112,9,75
season-1213,5,80
season-1314,7,78
season-1415,7,94
season-1516,6,75
season-1617,5,83
season-1718,5,72
season-1819,5,77
